N° de venda,ID do pedido,Total BRL,Número da nota,Numero_sem_parcela,Valor da nota,Plataforma,Situação,Ação sugerida,Valor a receber,Valor pago,Diferença,Data de pagamento,Data de emissão,empresa
2000011919401549,2000015451267170,359.34,009747,9747,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-20 16:24:13,2026-03-10,Antomóveis
2000011920963585,2000015452584204,287.89,009799,9799,286.99,Mercado Livre,Pago,Ok,287.89,287.89,0.0,2026-03-25 12:54:16,2026-03-16,Antomóveis
2000011928295951,2000015458802594,359.34,009803,9803,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-29 09:06:10,2026-03-16,Antomóveis
2000011928715033,2000015459144918,359.34,009746,9746,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-19 12:03:29,2026-03-10,Antomóveis
2000011928926893,2000015459327836,359.34,009802,9802,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-26 20:19:18,2026-03-16,Antomóveis
2000011945537939,2000015473587014,159.54,009868,9868,209.99,Mercado Livre,Pago,Ok,159.54,159.54,0.0,2026-03-28 14:11:51,2026-03-18,Antomóveis
2000011947679797,2000015475380216,359.34,009761,9761,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-22 11:31:32,2026-03-11,Antomóveis
2000011947857477,2000015475526056,359.34,009844,9844,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-27 14:04:25,2026-03-17,Antomóveis
2000011960744377,2000015486436482,359.34,009760,9760,346.43,Mercado Livre,Pago,Ok,359.34,359.34,0.0,2026-03-23 13:28:56,2026-03-11,Antomóveis
2000011969700681,2000015493989632,113.74,,,,Mercado Livre,,Baixar no Bling,113.74,113.74,0.0,2026-03-22 09:55:40,,Antomóveis
2000011970235053,2000015494484032,159.54,009790,9790,209.99,Mercado Livre,Pago,Ok,159.54,159.54,0.0,2026-03-24 11:59:13,2026-03-13,Antomóveis
2000011979354201,2000015502225092,150.69,009778,9778,202.99,Mercado Livre,Pago,Ok,150.69,150.69,0.0,2026-03-21 12:01:25,2026-03-12,Antomóveis
2000011979354203,2000015502211786,150.69,009777,9777,202.99,Mercado Livre,Pago,Ok,150.69,150.69,0.0,2026-03-21 12:05:03,2026-03-12,Antomóveis
2000011996530233,2000015516762604,159.54,009789,9789,209.99,Mercado Livre,Pago,Ok,159.54,159.54,0.0,2026-03-24 10:20:30,2026-03-13,Antomóveis
2000012003362629,2000015522596780,346.84,009801,9801,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-26 10:59:27,2026-03-16,Antomóveis
2000012003437125,2000015522660028,346.84,009794,9794,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-25 08:52:06,2026-03-13,Antomóveis
2000012013521979,2000015531245296,0.0,,,,Mercado Livre,,Verificar recebimento,0.0,0.0,0.0,2026-03-13 17:50:03,,Antomóveis
2000012018286885,2000015535325244,346.84,009845,9845,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-30 15:12:03,2026-03-17,Antomóveis
2000012024157069,2000015540405948,115.24,009841,9841,139.99,Mercado Livre,Pago,Ok,115.24,115.24,0.0,2026-03-28 11:20:01,2026-03-17,Antomóveis
2000012044859917,2000015558230346,346.84,009871,9871,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-28 09:22:52,2026-03-18,Antomóveis
2000012046791609,2000015559895198,346.84,009872,9872,346.43,Mercado Livre,Em aberto,Verificar recebimento,346.84,0.0,346.84,2026-03-31 14:06:30,2026-03-18,Antomóveis
2000012053078173,2000015565322466,346.84,009873,9873,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-28 12:49:01,2026-03-18,Antomóveis
2000012060264953,2000015571503830,346.84,009874,9874,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-04 11:31:33,2026-03-18,Antomóveis
2000012065018973,2000015575572820,346.84,009875,9875,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-27 16:49:38,2026-03-18,Antomóveis
2000012068025537,2000015578147122,113.74,009865,9865,139.99,Mercado Livre,Pago,Ok,113.74,113.74,0.0,2026-03-28 10:41:09,2026-03-18,Antomóveis
2000012077957553,2000015586641358,346.84,009909,9909,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-04 10:17:19,2026-03-23,Antomóveis
2000012080745967,2000015588996236,346.84,009891,9891,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-02 14:47:30,2026-03-20,Antomóveis
2000012092730233,2000015599263894,53.59,009867,9867,209.99,Mercado Livre,Em aberto,Baixar no Bling,53.59,53.59,0.0,2026-03-31 10:49:03,2026-03-18,Antomóveis
2000012092730235,2000015599269486,265.49,009866,9866,209.99,Mercado Livre,Em aberto,Baixar no Bling,265.49,265.49,0.0,2026-03-31 10:51:10,2026-03-18,Antomóveis
2000012096379153,2000015602251064,346.84,009881,9881,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-29 16:15:25,2026-03-19,Antomóveis
2000012119718333,2000015622186248,346.84,009907,9907,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-03 13:23:20,2026-03-23,Antomóveis
2000012123119113,2000015625085018,346.84,009890,9890,346.43,Mercado Livre,Pago,Ok,346.84,346.84,0.0,2026-03-30 13:26:10,2026-03-20,Antomóveis
2000012134257525,2000015634762258,346.84,009906,9906,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-02 16:56:45,2026-03-23,Antomóveis
2000012137696641,2000015637741736,346.84,009955,9955,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-05 11:57:53,2026-03-26,Antomóveis
2000012140477645,2000015640184208,346.84,009904,9904,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-02 09:37:58,2026-03-23,Antomóveis
2000012143908721,2000015643123764,346.84,009903,9903,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-01 09:59:58,2026-03-23,Antomóveis
2000012147011675,2000015645789788,0.0,,,,Mercado Livre,,Verificar recebimento,0.0,0.0,0.0,2026-03-21 19:20:37,,Antomóveis
2000012147999585,2000015646627160,346.84,009902,9902,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-01 09:57:06,2026-03-23,Antomóveis
2000012152128685,2000015650196726,346.84,009901,9901,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-03 17:10:53,2026-03-23,Antomóveis
2000012162958953,2000015659445830,346.84,009900,9900,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-01 19:27:02,2026-03-23,Antomóveis
2000012178295103,2000015672676568,346.84,009927,9927,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-04 15:41:20,2026-03-24,Antomóveis
2000012178723861,2000015673039250,0.0,,,,Mercado Livre,,Verificar recebimento,0.0,-0.0,0.0,2026-03-23 17:57:12,,Antomóveis
2000012178914557,2000015673218598,346.84,009928,9928,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-05 09:14:25,2026-03-24,Antomóveis
2000012181948097,2000015675792366,346.84,009929,9929,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-03 17:40:26,2026-03-24,Antomóveis
2000012182613081,2000015676364740,319.08,009926,9926,419.98,Mercado Livre,Em aberto,Baixar no Bling,319.08,319.08,0.0,2026-04-05 12:05:19,2026-03-24,Antomóveis
2000012183280181,2000015676928406,346.84,009930,9930,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-02 13:28:13,2026-03-24,Antomóveis
2000012194145587,2000015686242248,346.84,009938,9938,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-03 14:10:15,2026-03-25,Antomóveis
2000012206095253,2000015696469898,346.84,009953,9953,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-04 11:42:59,2026-03-26,Antomóveis
2000012212111737,2000015701660112,301.89,009967,9967,300.99,Mercado Livre,Em aberto,Baixar no Bling,301.89,301.89,0.0,2026-04-05 11:00:15,2026-03-27,Antomóveis
2000012217396433,2000015706182448,346.84,009949,9949,346.43,Mercado Livre,Em aberto,Baixar no Bling,346.84,346.84,0.0,2026-04-05 09:19:39,2026-03-26,Antomóveis
2000012326501035,2000015805430200,-52.36,010063,10063,209.99,Mercado Livre,Em aberto,Verificar recebimento,-52.36,-52.36,0.0,2026-04-02 08:52:49,2026-04-02,Antomóveis
2000012333295729,2000015811975234,0.0,,,,Mercado Livre,,Verificar recebimento,0.0,0.0,0.0,2026-04-03 12:14:04,,Antomóveis
